[2024-05-12T18:01:38.919+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-05-12T18:01:38.933+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [queued]>
[2024-05-12T18:01:38.938+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-05-12T18:01:38.946+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): dvc_add_and_push> on 2024-05-12 18:01:15.254381+00:00
[2024-05-12T18:01:38.951+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=189) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:63} INFO - Started process 191 to run task
[2024-05-12T18:01:38.952+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'web_article_scraping', 'dvc_add_and_push', 'manual__2024-05-12T18:01:15.254381+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpp7tnqpv7']
[2024-05-12T18:01:38.953+0000] {standard_task_runner.py:91} INFO - Job 34: Subtask dvc_add_and_push
[2024-05-12T18:01:38.982+0000] {task_command.py:426} INFO - Running <TaskInstance: web_article_scraping.dvc_add_and_push manual__2024-05-12T18:01:15.254381+00:00 [running]> on host 4d491b913ee9
[2024-05-12T18:01:44.412+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-render<2,>=1.0.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.0.2)
[2024-05-12T18:01:44.414+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-studio-client<1,>=0.20 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.20.0)
[2024-05-12T18:01:44.415+0000] {subprocess.py:93} INFO - Requirement already satisfied: dvc-task<1,>=0.3.0 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.4.0)
[2024-05-12T18:01:44.416+0000] {subprocess.py:93} INFO - Requirement already satisfied: flatten-dict<1,>=0.4.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.4.2)
[2024-05-12T18:01:44.417+0000] {subprocess.py:93} INFO - Requirement already satisfied: flufl.lock<8,>=5 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (7.1.1)
[2024-05-12T18:01:44.418+0000] {subprocess.py:93} INFO - Requirement already satisfied: grandalf<1,>=0.7 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.8)
[2024-05-12T18:01:44.419+0000] {subprocess.py:93} INFO - Requirement already satisfied: gto<2,>=1.6.0 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.7.1)
[2024-05-12T18:01:44.420+0000] {subprocess.py:93} INFO - Requirement already satisfied: hydra-core>=1.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.3.2)
[2024-05-12T18:01:44.421+0000] {subprocess.py:93} INFO - Requirement already satisfied: iterative-telemetry>=0.0.7 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.0.8)
[2024-05-12T18:01:44.422+0000] {subprocess.py:93} INFO - Requirement already satisfied: kombu in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (5.3.7)
[2024-05-12T18:01:44.423+0000] {subprocess.py:93} INFO - Requirement already satisfied: networkx>=2.5 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.3)
[2024-05-12T18:01:44.424+0000] {subprocess.py:93} INFO - Requirement already satisfied: omegaconf in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.3.0)
[2024-05-12T18:01:44.425+0000] {subprocess.py:93} INFO - Requirement already satisfied: packaging>=19 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (24.0)
[2024-05-12T18:01:44.426+0000] {subprocess.py:93} INFO - Requirement already satisfied: pathspec>=0.10.3 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.12.1)
[2024-05-12T18:01:44.428+0000] {subprocess.py:93} INFO - Requirement already satisfied: platformdirs<4,>=3.1.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.11.0)
[2024-05-12T18:01:44.429+0000] {subprocess.py:93} INFO - Requirement already satisfied: psutil>=5.8 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (5.9.8)
[2024-05-12T18:01:44.430+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydot>=1.2.4 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.0.0)
[2024-05-12T18:01:44.431+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygtrie>=2.3.2 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.5.0)
[2024-05-12T18:01:44.432+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyparsing>=2.4.7 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.1.2)
[2024-05-12T18:01:44.433+0000] {subprocess.py:93} INFO - Requirement already satisfied: requests>=2.22 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (2.31.0)
[2024-05-12T18:01:44.435+0000] {subprocess.py:93} INFO - Requirement already satisfied: rich>=12 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (13.7.1)
[2024-05-12T18:01:44.436+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml>=0.17.11 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.18.6)
[2024-05-12T18:01:44.437+0000] {subprocess.py:93} INFO - Requirement already satisfied: scmrepo<4,>=3.3.2 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.3.2)
[2024-05-12T18:01:44.438+0000] {subprocess.py:93} INFO - Requirement already satisfied: shortuuid>=0.5 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.0.13)
[2024-05-12T18:01:44.439+0000] {subprocess.py:93} INFO - Requirement already satisfied: shtab<2,>=1.3.4 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (1.7.1)
[2024-05-12T18:01:44.442+0000] {subprocess.py:93} INFO - Requirement already satisfied: tabulate>=0.8.7 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.9.0)
[2024-05-12T18:01:44.442+0000] {subprocess.py:93} INFO - Requirement already satisfied: tomlkit>=0.11.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.12.4)
[2024-05-12T18:01:44.445+0000] {subprocess.py:93} INFO - Requirement already satisfied: voluptuous>=0.11.7 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (0.14.2)
[2024-05-12T18:01:44.446+0000] {subprocess.py:93} INFO - Requirement already satisfied: zc.lockfile>=1.2.1 in /home/***/.local/lib/python3.12/site-packages (from dvc->dvc-gdrive) (3.0.post1)
[2024-05-12T18:01:44.466+0000] {subprocess.py:93} INFO - Requirement already satisfied: six in /home/***/.local/lib/python3.12/site-packages (from configobj>=5.0.6->dvc->dvc-gdrive) (1.16.0)
[2024-05-12T18:01:44.483+0000] {subprocess.py:93} INFO - Requirement already satisfied: dictdiffer>=0.8.1 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc->dvc-gdrive) (0.9.0)
[2024-05-12T18:01:44.486+0000] {subprocess.py:93} INFO - Requirement already satisfied: diskcache>=5.2.1 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc->dvc-gdrive) (5.6.3)
[2024-05-12T18:01:44.487+0000] {subprocess.py:93} INFO - Requirement already satisfied: sqltrie<1,>=0.11.0 in /home/***/.local/lib/python3.12/site-packages (from dvc-data<3.16,>=3.15->dvc->dvc-gdrive) (0.11.0)
[2024-05-12T18:01:44.498+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp-retry>=2.5.0 in /home/***/.local/lib/python3.12/site-packages (from dvc-http>=2.29.0->dvc->dvc-gdrive) (2.8.3)
[2024-05-12T18:01:44.575+0000] {subprocess.py:93} INFO - Requirement already satisfied: billiard<5.0,>=4.2.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (4.2.0)
[2024-05-12T18:01:44.577+0000] {subprocess.py:93} INFO - Requirement already satisfied: vine<6.0,>=5.1.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (5.1.0)
[2024-05-12T18:01:44.578+0000] {subprocess.py:93} INFO - Requirement already satisfied: click<9.0,>=8.1.2 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (8.1.7)
[2024-05-12T18:01:44.579+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-didyoumean>=0.3.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (0.3.1)
[2024-05-12T18:01:44.580+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-repl>=0.2.0 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (0.3.0)
[2024-05-12T18:01:44.581+0000] {subprocess.py:93} INFO - Requirement already satisfied: click-plugins>=1.1.1 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (1.1.1)
[2024-05-12T18:01:44.581+0000] {subprocess.py:93} INFO - Requirement already satisfied: tzdata>=2022.7 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (2024.1)
[2024-05-12T18:01:44.582+0000] {subprocess.py:93} INFO - Requirement already satisfied: python-dateutil>=2.8.2 in /home/***/.local/lib/python3.12/site-packages (from celery->dvc->dvc-gdrive) (2.9.0.post0)
[2024-05-12T18:01:44.591+0000] {subprocess.py:93} INFO - Requirement already satisfied: atpublic>=2.3 in /home/***/.local/lib/python3.12/site-packages (from flufl.lock<8,>=5->dvc->dvc-gdrive) (4.1.0)
[2024-05-12T18:01:44.624+0000] {subprocess.py:93} INFO - Requirement already satisfied: httplib2<1.dev0,>=0.19.0 in /home/***/.local/lib/python3.12/site-packages (from google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (0.22.0)
[2024-05-12T18:01:44.625+0000] {subprocess.py:93} INFO - Requirement already satisfied: google-auth!=2.24.0,!=2.25.0,<3.0.0.dev0,>=1.32.0 in /home/***/.local/lib/python3.12/site-packages (from google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2.29.0)
[2024-05-12T18:01:44.626+0000] {subprocess.py:93} INFO - Requirement already satisfied: google-auth-httplib2<1.0.0,>=0.2.0 in /home/***/.local/lib/python3.12/site-packages (from google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (0.2.0)
[2024-05-12T18:01:44.627+0000] {subprocess.py:93} INFO - Requirement already satisfied: google-api-core!=2.0.*,!=2.1.*,!=2.2.*,!=2.3.0,<3.0.0.dev0,>=1.31.5 in /home/***/.local/lib/python3.12/site-packages (from google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2.19.0)
[2024-05-12T18:01:44.628+0000] {subprocess.py:93} INFO - Requirement already satisfied: uritemplate<5,>=3.0.1 in /home/***/.local/lib/python3.12/site-packages (from google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (4.1.1)
[2024-05-12T18:01:44.643+0000] {subprocess.py:93} INFO - Requirement already satisfied: typer>=0.4.1 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc->dvc-gdrive) (0.12.3)
[2024-05-12T18:01:44.646+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydantic!=2.0.0,<3,>=1.9.0 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc->dvc-gdrive) (2.7.1)
[2024-05-12T18:01:44.648+0000] {subprocess.py:93} INFO - Requirement already satisfied: semver>=2.13.0 in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc->dvc-gdrive) (3.0.2)
[2024-05-12T18:01:44.648+0000] {subprocess.py:93} INFO - Requirement already satisfied: entrypoints in /home/***/.local/lib/python3.12/site-packages (from gto<2,>=1.6.0->dvc->dvc-gdrive) (0.4)
[2024-05-12T18:01:44.655+0000] {subprocess.py:93} INFO - Requirement already satisfied: antlr4-python3-runtime==4.9.* in /home/***/.local/lib/python3.12/site-packages (from hydra-core>=1.1->dvc->dvc-gdrive) (4.9.3)
[2024-05-12T18:01:44.670+0000] {subprocess.py:93} INFO - Requirement already satisfied: filelock in /home/***/.local/lib/python3.12/site-packages (from iterative-telemetry>=0.0.7->dvc->dvc-gdrive) (3.14.0)
[2024-05-12T18:01:44.688+0000] {subprocess.py:93} INFO - Requirement already satisfied: amqp<6.0.0,>=5.1.1 in /home/***/.local/lib/python3.12/site-packages (from kombu->dvc->dvc-gdrive) (5.2.0)
[2024-05-12T18:01:44.709+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyasn1>=0.1.7 in /home/***/.local/lib/python3.12/site-packages (from oauth2client>=4.0.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (0.5.1)
[2024-05-12T18:01:44.710+0000] {subprocess.py:93} INFO - Requirement already satisfied: pyasn1-modules>=0.0.5 in /home/***/.local/lib/python3.12/site-packages (from oauth2client>=4.0.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (0.3.0)
[2024-05-12T18:01:44.711+0000] {subprocess.py:93} INFO - Requirement already satisfied: rsa>=3.1.4 in /home/***/.local/lib/python3.12/site-packages (from oauth2client>=4.0.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (4.9)
[2024-05-12T18:01:44.757+0000] {subprocess.py:93} INFO - Requirement already satisfied: cryptography<43,>=41.0.5 in /home/***/.local/lib/python3.12/site-packages (from pyOpenSSL>=19.1.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (41.0.7)
[2024-05-12T18:01:44.774+0000] {subprocess.py:93} INFO - Requirement already satisfied: charset-normalizer<4,>=2 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc->dvc-gdrive) (3.3.2)
[2024-05-12T18:01:44.775+0000] {subprocess.py:93} INFO - Requirement already satisfied: idna<4,>=2.5 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc->dvc-gdrive) (3.7)
[2024-05-12T18:01:44.776+0000] {subprocess.py:93} INFO - Requirement already satisfied: urllib3<3,>=1.21.1 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc->dvc-gdrive) (2.2.1)
[2024-05-12T18:01:44.777+0000] {subprocess.py:93} INFO - Requirement already satisfied: certifi>=2017.4.17 in /home/***/.local/lib/python3.12/site-packages (from requests>=2.22->dvc->dvc-gdrive) (2024.2.2)
[2024-05-12T18:01:44.784+0000] {subprocess.py:93} INFO - Requirement already satisfied: markdown-it-py>=2.2.0 in /home/***/.local/lib/python3.12/site-packages (from rich>=12->dvc->dvc-gdrive) (3.0.0)
[2024-05-12T18:01:44.785+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygments<3.0.0,>=2.13.0 in /home/***/.local/lib/python3.12/site-packages (from rich>=12->dvc->dvc-gdrive) (2.17.2)
[2024-05-12T18:01:44.794+0000] {subprocess.py:93} INFO - Requirement already satisfied: ruamel.yaml.clib>=0.2.7 in /home/***/.local/lib/python3.12/site-packages (from ruamel.yaml>=0.17.11->dvc->dvc-gdrive) (0.2.8)
[2024-05-12T18:01:44.811+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitpython>3 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (3.1.43)
[2024-05-12T18:01:44.813+0000] {subprocess.py:93} INFO - Requirement already satisfied: pygit2>=1.14.0 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (1.14.1)
[2024-05-12T18:01:44.816+0000] {subprocess.py:93} INFO - Requirement already satisfied: asyncssh<3,>=2.13.1 in /home/***/.local/lib/python3.12/site-packages (from scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (2.14.2)
[2024-05-12T18:01:44.828+0000] {subprocess.py:93} INFO - Requirement already satisfied: setuptools in /home/***/.local/lib/python3.12/site-packages (from dulwich->dvc->dvc-gdrive) (66.1.1)
[2024-05-12T18:01:44.876+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiohttp in /home/***/.local/lib/python3.12/site-packages (from aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc->dvc-gdrive) (3.9.5)
[2024-05-12T18:01:44.892+0000] {subprocess.py:93} INFO - Requirement already satisfied: typing-extensions>=3.6 in /home/***/.local/lib/python3.12/site-packages (from asyncssh<3,>=2.13.1->scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (4.11.0)
[2024-05-12T18:01:44.939+0000] {subprocess.py:93} INFO - Requirement already satisfied: prompt-toolkit>=3.0.36 in /home/***/.local/lib/python3.12/site-packages (from click-repl>=0.2.0->celery->dvc->dvc-gdrive) (3.0.43)
[2024-05-12T18:01:44.954+0000] {subprocess.py:93} INFO - Requirement already satisfied: cffi>=1.12 in /home/***/.local/lib/python3.12/site-packages (from cryptography<43,>=41.0.5->pyOpenSSL>=19.1.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (1.16.0)
[2024-05-12T18:01:45.034+0000] {subprocess.py:93} INFO - Requirement already satisfied: gitdb<5,>=4.0.1 in /home/***/.local/lib/python3.12/site-packages (from gitpython>3->scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (4.0.11)
[2024-05-12T18:01:45.051+0000] {subprocess.py:93} INFO - Requirement already satisfied: googleapis-common-protos<2.0.dev0,>=1.56.2 in /home/***/.local/lib/python3.12/site-packages (from google-api-core!=2.0.*,!=2.1.*,!=2.2.*,!=2.3.0,<3.0.0.dev0,>=1.31.5->google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (1.63.0)
[2024-05-12T18:01:45.052+0000] {subprocess.py:93} INFO - Requirement already satisfied: protobuf!=3.20.0,!=3.20.1,!=4.21.0,!=4.21.1,!=4.21.2,!=4.21.3,!=4.21.4,!=4.21.5,<5.0.0.dev0,>=3.19.5 in /home/***/.local/lib/python3.12/site-packages (from google-api-core!=2.0.*,!=2.1.*,!=2.2.*,!=2.3.0,<3.0.0.dev0,>=1.31.5->google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (4.25.3)
[2024-05-12T18:01:45.053+0000] {subprocess.py:93} INFO - Requirement already satisfied: proto-plus<2.0.0dev,>=1.22.3 in /home/***/.local/lib/python3.12/site-packages (from google-api-core!=2.0.*,!=2.1.*,!=2.2.*,!=2.3.0,<3.0.0.dev0,>=1.31.5->google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (1.23.0)
[2024-05-12T18:01:45.068+0000] {subprocess.py:93} INFO - Requirement already satisfied: cachetools<6.0,>=2.0.0 in /home/***/.local/lib/python3.12/site-packages (from google-auth!=2.24.0,!=2.25.0,<3.0.0.dev0,>=1.32.0->google-api-python-client>=1.12.5->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (5.3.3)
[2024-05-12T18:01:45.113+0000] {subprocess.py:93} INFO - Requirement already satisfied: mdurl~=0.1 in /home/***/.local/lib/python3.12/site-packages (from markdown-it-py>=2.2.0->rich>=12->dvc->dvc-gdrive) (0.1.2)
[2024-05-12T18:01:45.138+0000] {subprocess.py:93} INFO - Requirement already satisfied: annotated-types>=0.4.0 in /home/***/.local/lib/python3.12/site-packages (from pydantic!=2.0.0,<3,>=1.9.0->gto<2,>=1.6.0->dvc->dvc-gdrive) (0.6.0)
[2024-05-12T18:01:45.139+0000] {subprocess.py:93} INFO - Requirement already satisfied: pydantic-core==2.18.2 in /home/***/.local/lib/python3.12/site-packages (from pydantic!=2.0.0,<3,>=1.9.0->gto<2,>=1.6.0->dvc->dvc-gdrive) (2.18.2)
[2024-05-12T18:01:45.214+0000] {subprocess.py:93} INFO - Requirement already satisfied: orjson in /home/***/.local/lib/python3.12/site-packages (from sqltrie<1,>=0.11.0->dvc-data<3.16,>=3.15->dvc->dvc-gdrive) (3.10.3)
[2024-05-12T18:01:45.225+0000] {subprocess.py:93} INFO - Requirement already satisfied: shellingham>=1.3.0 in /home/***/.local/lib/python3.12/site-packages (from typer>=0.4.1->gto<2,>=1.6.0->dvc->dvc-gdrive) (1.5.4)
[2024-05-12T18:01:45.359+0000] {subprocess.py:93} INFO - Requirement already satisfied: aiosignal>=1.1.2 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc->dvc-gdrive) (1.3.1)
[2024-05-12T18:01:45.361+0000] {subprocess.py:93} INFO - Requirement already satisfied: frozenlist>=1.1.1 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc->dvc-gdrive) (1.4.1)
[2024-05-12T18:01:45.362+0000] {subprocess.py:93} INFO - Requirement already satisfied: multidict<7.0,>=4.5 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc->dvc-gdrive) (6.0.5)
[2024-05-12T18:01:45.364+0000] {subprocess.py:93} INFO - Requirement already satisfied: yarl<2.0,>=1.0 in /home/***/.local/lib/python3.12/site-packages (from aiohttp->aiohttp-retry>=2.5.0->dvc-http>=2.29.0->dvc->dvc-gdrive) (1.9.4)
[2024-05-12T18:01:45.390+0000] {subprocess.py:93} INFO - Requirement already satisfied: pycparser in /home/***/.local/lib/python3.12/site-packages (from cffi>=1.12->cryptography<43,>=41.0.5->pyOpenSSL>=19.1.0->pydrive2>=1.19.0->pydrive2[fsspec]>=1.19.0->dvc-gdrive) (2.22)
[2024-05-12T18:01:45.401+0000] {subprocess.py:93} INFO - Requirement already satisfied: smmap<6,>=3.0.1 in /home/***/.local/lib/python3.12/site-packages (from gitdb<5,>=4.0.1->gitpython>3->scmrepo<4,>=3.3.2->dvc->dvc-gdrive) (5.0.1)
[2024-05-12T18:01:45.431+0000] {subprocess.py:93} INFO - Requirement already satisfied: wcwidth in /home/***/.local/lib/python3.12/site-packages (from prompt-toolkit>=3.0.36->click-repl>=0.2.0->celery->dvc->dvc-gdrive) (0.2.13)
[2024-05-12T18:01:48.651+0000] {subprocess.py:93} INFO - Initialized DVC repository.
[2024-05-12T18:01:48.652+0000] {subprocess.py:93} INFO - 
[2024-05-12T18:01:48.655+0000] {subprocess.py:93} INFO - +---------------------------------------------------------------------+
[2024-05-12T18:01:48.655+0000] {subprocess.py:93} INFO - |                                                                     |
[2024-05-12T18:01:48.655+0000] {subprocess.py:93} INFO - |        DVC has enabled anonymous aggregate usage analytics.         |
[2024-05-12T18:01:48.655+0000] {subprocess.py:93} INFO - |     Read the analytics documentation (and how to opt-out) here:     |
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - |             <https://dvc.org/doc/user-guide/analytics>              |
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - |                                                                     |
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - +---------------------------------------------------------------------+
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - 
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - What's next?
[2024-05-12T18:01:48.656+0000] {subprocess.py:93} INFO - ------------
[2024-05-12T18:01:48.657+0000] {subprocess.py:93} INFO - - Check out the documentation: <https://dvc.org/doc>
[2024-05-12T18:01:48.657+0000] {subprocess.py:93} INFO - - Get help and share ideas: <https://dvc.org/chat>
[2024-05-12T18:01:48.657+0000] {subprocess.py:93} INFO - - Star us on GitHub: <https://github.com/iterative/dvc>
[2024-05-12T18:01:49.317+0000] {subprocess.py:93} INFO - Setting 'mygoogledrive' as a default remote.
[2024-05-12T18:01:51.462+0000] {subprocess.py:93} INFO - /home/***/.local/lib/python3.12/site-packages/oauth2client/_helpers.py:255: UserWarning: Cannot access /home/***/.cache/pydrive2fs/710796635688-iivsgbgsb6uv1fap6635dhvuei09o66c.apps.googleusercontent.com/default.json: No such file or directory
[2024-05-12T18:01:51.462+0000] {subprocess.py:93} INFO -   warnings.warn(_MISSING_FILE_MESSAGE.format(filename))
[2024-05-12T18:01:51.463+0000] {subprocess.py:93} INFO - Your browser has been opened to visit:
[2024-05-12T18:01:51.463+0000] {subprocess.py:93} INFO - 
[2024-05-12T18:01:51.463+0000] {subprocess.py:93} INFO -     https://accounts.google.com/o/oauth2/auth?client_id=710796635688-iivsgbgsb6uv1fap6635dhvuei09o66c.apps.googleusercontent.com&redirect_uri=http%3A%2F%2Flocalhost%3A8080%2F&scope=https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fdrive.appdata&access_type=offline&response_type=code&approval_prompt=force
[2024-05-12T18:01:51.463+0000] {subprocess.py:93} INFO - 
